16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:30 [ultranest] [DEBUG] iteration=1199, ncalls=3170, logz=-549.91, remainder_fraction=100.0000%, Lmin=-540.01, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1200, ncalls=3171, logz=-548.67, remainder_fraction=100.0000%, Lmin=-540.00, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1211, ncalls=3213, logz=-534.33, remainder_fraction=100.0000%, Lmin=-524.69, Lmax=-139.93
16:01:30 [ultranest] [DEBUG] iteration=1220, ncalls=3245, logz=-525.98, remainder_fraction=100.0000%, Lmin=-517.10, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1231, ncalls=3290, logz=-507.41, remainder_fraction=100.0000%, Lmin=-498.06, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1237, ncalls=3327, logz=-504.02, remainder_fraction=100.0000%, Lmin=-494.21, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1240, ncalls=3344, logz=-501.24, remainder_fraction=100.0000%, Lmin=-492.00, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1242, ncalls=3351, logz=-498.88, remainder_fraction=100.0000%, Lmin=-488.13, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1248, ncalls=3388, logz=-492.82, remainder_fraction=100.0000%, Lmin=-484.45, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1255, ncalls=3423, logz=-487.79, remainder_fraction=100.0000%, Lmin=-478.00, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1260, ncalls=3435, logz=-480.93, remainder_fraction=100.0000%, Lmin=-471.51, Lmax=-139.93
16:01:31 [ultranest] [DEBUG] iteration=1275, ncalls=3457, logz=-464.06, remainder_fraction=100.0000%, Lmin=-454.97, Lmax=-139.93
